NCESSCH,SCHNAM04,FRELCH04,REDLCH04,TOTFRL04,MEMBER04,ASIAN04,HISP04,BLACK04,WHITE04,PUPTCH04,SCHNAM06,FRELCH06,REDLCH06,TOTFRL06,MEMBER06,ASIAN06,HISP06,BLACK06,WHITE06,PUPTCH06
220000901779,SCENIC ALTERNATIVE HIGH SCHOOL,-1,-1,-1,124,0,0,98,26,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220000901780,RIVERSIDE ALTERNATIVE HIGH SCHOOL,-1,-1,-1,41,0,0,29,12,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220000901781,SOUTHSIDE ALTERNATIVE HIGH SCHOOL,-1,-1,-1,114,0,0,86,28,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220001701975,"LOUISIANA SCHOOL FOR MATH, SCIENCE & THE ARTS",0,0,0,348,49,8,28,256,7.8,LOUISIANA SCHOOL FOR MATH SCIENCE & THE ARTS,40,12,52,338,37,11,37,250,7.4
220001801789,LOUISIANA SCHOOL FOR THE DEAF,177,10,187,220,2,5,122,90,2.8,LOUISIANA SCHOOL FOR THE DEAF,165,14,179,212,3,6,115,87,3.2
220001900193,LOUISIANA SCHOOL FOR THE VISUALLY IMPAIRED,0,0,0,55,1,0,27,27,3.2,LOUISIANA SCHOOL FOR THE VISUALLY IMPAIRED,65,5,70,78,1,0,43,34,3.3000000000000003
220002000267,LOUISIANA SPECIAL EDUCATION CENTER,0,0,0,44,0,0,9,35,3.7,LOUISIANA SPECIAL EDUCATION CENTER,0,0,0,42,0,0,8,34,4.2
220002201922,LSU LABORATORY SCHOOL,18,14,32,951,30,25,119,774,15.5,LSU LABORATORY SCHOOL,14,19,33,1316,31,19,105,1158,17.6
220002301921,SOUTHERN UNIVERSITY LAB SCHOOL,210,98,308,470,1,0,469,0,15.2,SOUTHERN UNIVERSITY LAB SCHOOL,266,61,327,480,0,0,480,0,18
220002501000,NEW VISION LEARNING ACADEMY,196,19,215,260,0,0,260,0,13.7,NEW VISION LEARNING ACADEMY,237,48,285,333,0,0,333,0,15.4
220003000001,ARMSTRONG MIDDLE SCHOOL,279,42,321,438,0,2,170,266,17.7,ARMSTRONG MIDDLE SCHOOL,264,49,313,420,2,2,182,233,16.2
220003000002,BRANCH ELEMENTARY SCHOOL,102,27,129,238,0,0,42,196,16.4,BRANCH ELEMENTARY SCHOOL,94,33,127,240,0,0,51,189,16.6
220003000003,CENTRAL RAYNE KINDERGARTEN SCHOOL,145,14,159,197,0,1,87,109,15.6,CENTRAL RAYNE KINDERGARTEN SCHOOL,122,20,142,186,0,0,70,116,15.200000000000001
220003000004,CHURCH POINT HIGH SCHOOL,223,61,284,490,0,6,125,358,15.8,CHURCH POINT HIGH SCHOOL,218,68,286,514,0,9,137,368,16.2
220003000005,CHURCH POINT MIDDLE SCHOOL,187,29,216,270,0,4,121,144,12,CHURCH POINT MIDDLE SCHOOL,166,26,192,245,0,5,109,130,13.4
220003000006,CROWLEY HIGH SCHOOL,339,69,408,634,1,5,239,388,14.7,CROWLEY HIGH SCHOOL,358,52,410,658,3,5,264,385,15.5
220003000007,CROWLEY MIDDLE SCHOOL,440,69,509,619,3,6,287,321,13.5,CROWLEY MIDDLE SCHOOL,409,49,458,594,7,7,283,297,14.6
220003000008,CROWLEY KINDERGARTEN SCHOOL,221,22,243,286,1,4,117,164,16.9,CROWLEY KINDERGARTEN SCHOOL,227,22,249,302,0,4,125,173,17.400000000000002
220003000009,NORTH CROWLEY ELEMENTARY SCHOOL,317,36,353,421,1,3,214,203,15.4,NORTH CROWLEY ELEMENTARY SCHOOL,276,41,317,386,2,11,178,195,14.200000000000001
220003000010,EGAN ELEMENTARY SCHOOL,80,33,113,193,0,0,0,193,15.7,EGAN ELEMENTARY SCHOOL,71,33,104,199,0,0,0,199,17.5
220003000011,ESTHERWOOD ELEMENTARY SCHOOL,90,45,135,214,0,2,6,206,16.2,ESTHERWOOD ELEMENTARY SCHOOL,92,33,125,218,0,2,6,210,15.8
220003000012,EVANGELINE ELEMENTARY SCHOOL,68,19,87,179,0,0,0,179,14.4,EVANGELINE ELEMENTARY SCHOOL,72,12,84,188,0,0,0,188,16.8
220003000013,IOTA ELEMENTARY SCHOOL,178,66,244,451,0,2,27,422,17.3,IOTA ELEMENTARY SCHOOL,201,54,255,503,0,2,25,474,18.900000000000002
220003000014,IOTA HIGH SCHOOL,82,29,111,411,0,2,9,399,15.5,IOTA HIGH SCHOOL,95,38,133,438,0,8,11,418,17
220003000015,MERMENTAU ELEMENTARY SCHOOL,82,19,101,169,0,0,28,141,15.5,MERMENTAU ELEMENTARY SCHOOL,76,16,92,164,0,0,24,140,15.9
220003000016,MIDLAND HIGH SCHOOL,100,37,137,284,0,1,12,271,13.7,MIDLAND HIGH SCHOOL,98,44,142,279,0,2,9,268,14.9
220003000017,MIRE ELEMENTARY SCHOOL,196,40,236,500,3,1,31,465,17,MIRE ELEMENTARY SCHOOL,186,60,246,512,1,2,49,460,19.2
220003000018,MORSE ELEMENTARY SCHOOL,94,27,121,185,0,0,2,183,17.8,MORSE ELEMENTARY SCHOOL,90,28,118,200,0,0,1,199,17.1
220003000019,RAYNE HIGH SCHOOL,241,43,284,635,2,2,196,435,18.5,RAYNE HIGH SCHOOL,227,61,288,607,3,2,158,444,15.1
220003000020,RICHARD ELEMENTARY SCHOOL,156,53,209,304,0,0,20,284,15.9,RICHARD ELEMENTARY SCHOOL,132,47,179,298,0,0,18,280,16.1
220003000021,ROSS ELEMENTARY SCHOOL,299,27,326,371,0,8,213,149,12.9,ROSS ELEMENTARY SCHOOL,310,19,329,397,4,0,226,167,17
220003000022,SOUTH CROWLEY ELEMENTARY SCHOOL,286,39,325,374,3,0,119,252,15.2,SOUTH CROWLEY ELEMENTARY SCHOOL,269,26,295,357,2,2,131,222,14
220003000023,SOUTH RAYNE ELEMENTARY SCHOOL,202,32,234,290,2,0,131,156,15.9,SOUTH RAYNE ELEMENTARY SCHOOL,170,18,188,249,0,5,124,120,14.4
220003001015,IOTA MIDDLE SCHOOL,97,35,132,243,0,3,15,225,15.2,IOTA MIDDLE SCHOOL,74,17,91,213,0,2,10,201,16.8
220003001019,ACADIA PARISH ALTERNATIVE SCHOOL,54,13,67,88,1,0,32,55,5.6,ACADIA PARISH ALTERNATIVE SCHOOL,25,-1,28,51,0,0,16,35,7.3
220003001504,MARTIN PETITJEAN ELEMENTARY SCHOOL,285,41,326,407,1,3,195,206,15.8,MARTIN PETITJEAN ELEMENTARY SCHOOL,322,38,360,461,1,4,208,246,17.6
220003001505,CHURCH POINT ELEMENTARY SCHOOL,446,59,505,608,0,9,267,331,16.8,CHURCH POINT ELEMENTARY SCHOOL,435,54,489,600,0,9,272,319,16.4
220003201375,GLENCOE CHARTER SCHOOL,189,71,260,354,3,4,59,287,14.8,V. B. GLENCOE CHARTER SCHOOL,198,61,259,365,4,7,70,278,14
220003301485,INTERNATIONAL SCHOOL OF LOUISIANA,134,47,181,374,4,36,212,122,14.1,INTERNATIONAL SCHOOL OF LOUISIANA,99,29,128,319,5,57,151,103,12.8
220003501494,AVOYELLES PUBLIC CHARTER SCHOOL,234,120,354,535,2,1,124,390,22.8,AVOYELLES PUBLIC CHARTER SCHOOL,300,96,396,630,4,1,164,440,25.900000000000002
220003701538,EAST BATON ROUGE ARTS AND TECHNOLOGY SCHOOL,68,21,89,187,0,6,92,89,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220003801539,DELHI CHARTER SCHOOL,123,56,179,372,1,10,28,333,16.5,DELHI CHARTER SCHOOL,174,53,227,471,2,16,54,398,18.3
220003900405,NORTHWESTERN ELEMENTARY SCHOOL,288,65,353,744,6,6,280,452,17.6,NORTHWESTERN ELEMENTARY SCHOOL,245,59,304,689,6,5,274,403,14.9
220003900406,NORTHWESTERN MIDDLE SCHOOL,257,66,323,784,4,5,331,444,14.5,NORTHWESTERN MIDDLE SCHOOL,261,74,335,901,6,6,371,518,15.1
220003900449,ZACHARY ELEMENTARY SCHOOL,258,62,320,735,4,3,279,449,19.2,ZACHARY ELEMENTARY SCHOOL,180,45,225,567,5,5,221,335,17.900000000000002
220003900450,ZACHARY HIGH SCHOOL,192,58,250,967,6,3,340,616,15.8,ZACHARY HIGH SCHOOL,261,84,345,1076,3,3,435,633,14.3
220004000342,BAKER HEIGHTS ELEMENTARY SCHOOL,260,45,305,431,1,3,374,53,17.8,BAKER HEIGHTS ELEMENTARY SCHOOL,189,23,212,486,3,4,440,38,18.7
220004000343,BAKER MIDDLE SCHOOL,243,57,300,518,0,3,452,62,16.7,BAKER MIDDLE SCHOOL,295,45,340,543,0,3,498,41,16
220004000344,BAKER HIGH SCHOOL,290,73,363,630,2,2,550,76,15.4,BAKER HIGH SCHOOL,291,35,326,569,0,2,531,35,14.4
220004000345,BAKERFIELD ELEMENTARY SCHOOL,221,28,249,305,1,1,270,33,17.4,BAKERFIELD ELEMENTARY SCHOOL,165,17,182,297,2,2,264,29,14.9
220004000410,PARK RIDGE ELEMENTARY SCHOOL,248,39,287,377,1,2,319,55,17,PARK RIDGE ELEMENTARY SCHOOL,203,22,225,330,0,2,308,20,12.700000000000001
220004101630,BELLE CHASSE ACADEMY,132,199,331,918,20,62,414,420,16.1,BELLE CHASSE ACADEMY,145,177,322,798,25,56,377,337,16
220004201634,MILESTONE SABIS ACADEMY OF NEW ORLEANS,311,49,360,388,0,17,370,1,16.2,MILESTONE SABIS ACADEMY OF NEW ORLEANS,305,27,332,363,0,6,357,0,14.5
220004300860,P A CAPDAU SCHOOL,187,17,204,261,1,1,255,4,17.4,P. A. CAPDAU SCHOOL,377,15,392,447,1,0,443,3,15.4
220006000024,ELIZABETH HIGH SCHOOL,103,43,146,327,0,6,6,315,14.9,ELIZABETH HIGH SCHOOL,79,31,110,330,0,0,2,304,14
220006000025,FAIRVIEW HIGH SCHOOL,172,76,248,401,0,2,0,398,12.7,FAIRVIEW HIGH SCHOOL,124,87,211,377,0,1,0,375,12.4
220006000026,KINDER ELEMENTARY SCHOOL,323,72,395,629,8,4,160,450,15.7,KINDER ELEMENTARY SCHOOL,304,71,375,597,8,6,133,442,14.6
220006000027,KINDER HIGH SCHOOL,91,27,118,342,5,1,77,252,14.3,KINDER HIGH SCHOOL,119,25,144,331,1,3,74,242,12.700000000000001
220006000028,OAKDALE ELEMENTARY SCHOOL,411,68,479,626,5,8,178,435,13,OAKDALE ELEMENTARY SCHOOL,300,53,353,594,4,9,188,393,12.4
220006000029,OAKDALE HIGH SCHOOL,141,28,169,339,3,5,110,220,12.8,OAKDALE HIGH SCHOOL,175,38,213,357,5,8,124,212,13.700000000000001
220006000030,OAKDALE MIDDLE SCHOOL,249,37,286,418,1,11,152,253,11.9,OAKDALE MIDDLE SCHOOL,224,31,255,409,4,11,138,254,12.4
220006000031,OBERLIN ELEMENTARY SCHOOL,233,40,273,403,0,1,170,228,13.4,OBERLIN ELEMENTARY SCHOOL,279,15,294,429,4,3,163,254,14.8
220006000032,OBERLIN HIGH SCHOOL,105,32,137,245,0,1,92,150,12,OBERLIN HIGH SCHOOL,112,36,148,247,0,0,106,138,12
