pop_dens_km2,INCTOT,mode,TRANTIME
4988.452167014933,10654,Car,20
968.0657487333756,36000,Car,59
1431.9573586634851,27116,Car,10
1927.98541304821,38848,Car,45
1483.6858323664858,90556,Car,30
3460.8760323029132,106537,Car,15
43.032256899062745,19424,Car,25
2209.848422552094,87000,Car,20
5599.34627632224,57361,Car,50
2625.319322877755,550,Car,20
2920.646488778098,60430,Car,30
1309.8914512399622,521208,Transit,90
20.362527619823737,35690,Car,10
1837.152767589712,46932,Transit,30
2518.7219590912882,5215,Car,35
2074.489690088129,31288,Car,20
114.67716469979418,2086,Car,10
2647.0255236680027,28159,Car,30
848.284757452264,12784,Car,30
11187.252927309495,87408,Car,50
2625.319322877755,628000,Car,20
2353.339265807489,27693,Car,141
3915.622294327765,46402,Transit,45
5313.288514719413,37288,Car,15
232.09858628435913,100000,Car,5
6563.422734862032,10181,Car,45
1741.7687028962457,97120,Car,30
4935.628291144081,20000,Car,30
1483.6858323664858,45000,Motorcycle,15
1761.3839038486472,103594,Car,60
335.7165695408017,61087,Car,30
4805.761640774531,31288,Car,30
43.032256899062745,64099,Car,15
18.33267418049767,28273,Car,15
6339.755456814353,30544,Car,30
4946.505090494199,12949,Car,6
2697.0389311706585,50906,Car,15
4793.7849543403345,25569,Car,15
28.97569410034945,25569,Car,20
5313.288514719413,24503,Car,30
1161.5486006192025,63300,Car,30
731.6158641705935,109508,Car,15
335.7165695408017,116065,Car,90
1219.4266917698385,152241,Car,25
1050.7333964560428,119090,Car,45
387.5760233847532,42000,Car,30
92.39146427949316,140284,Car,10
1558.6210875856664,152718,Car,25
269.759781196087,440132,Car,90
7611.219150981271,200000,Bike,40
2637.9784679517757,14559,Car,15
4165.771554556369,22661,Car,20
3379.0426394074775,44797,Car,10
17.21289909831594,47941,Car,60
1927.98541304821,95883,Motorcycle,15
2286.329613587375,40725,Car,30
15303.931162096484,22000,Transit,30
595.814902035487,55996,Car,40
7611.219150981271,72300,Transit,60
28.1728158848998,38353,Car,15
850.9048997727095,160863,Car,10
968.0657487333756,20935,Car,10
848.284757452264,61509,Car,20
2074.489690088129,16407,Car,5
278.7636045282764,25453,Car,15
1854.9874839052063,7500,Car,15
2114.083960404297,66178,Car,40
16.468144144299128,21582,Car,30
20.362527619823737,50906,Car,25
37.76654145645725,73006,Car,10
911.22834031947,305,Car,10
2120.800604059369,129975,Car,30
3915.622294327765,6109,Car,5
12.270807728328524,20362,Car,10
406.4624805683746,5611,Car,10
497.2148369840991,57193,Car,142
114.67716469979418,21307,Car,20
669.6463533498307,183261,Car,28
2780.4256528506885,31294,Car,30
1431.9573586634851,41549,Car,15
4233.045660011577,52147,Car,20
2920.646488778098,20859,Car,20
1095.2413525406157,10429,Car,30
2031.264236909056,81449,Car,45
1378.4329481561615,37769,Car,45
278.8263734624197,175116,Car,45
1836.6656558801335,91631,Transit,40
6407.840193839804,22000,Car,60
531.7825753048928,378740,Car,20
3906.572641839028,15000,Other,30
4792.543525549976,28507,Car,20
4219.843141706183,42761,Car,20
814.1070662668714,50000,Car,48
4027.83716235682,50061,Car,141
4793.7849543403345,124097,Car,20
1854.9874839052063,14601,Car,20
2209.848422552094,51924,Transit,20
278.7636045282764,60000,Car,10
885.9237858912167,85465,Car,10
1837.152767589712,63991,Car,30
