pop_dens_km2,INCTOT,mode,TRANTIME
263.9300065775184,64746,Car,40
1599.3119441802817,18773,Car,30
4813.583350217678,3971,Car,60
5226.4574719524835,20859,Car,25
6407.840193839804,38000,Car,15
105.0779219995264,9712,Car,2
1577.169472515998,51138,Car,15
6835.090924202067,20859,Car,20
3460.8760323029132,81449,Car,40
18.33267418049767,12949,Car,10
2672.5629092903982,63922,Car,45
10215.948057260568,200000,Walk,15
376.3972096079254,56000,Car,5
3915.622294327765,521,Other,60
2089.9599963266373,97120,Car,20
278.7636045282764,35000,Car,60
76.05738742153386,26675,Car,10
1985.1972463910515,107911,Car,10
16.468144144299128,10683,Other,15
278.8263734624197,53955,Car,45
8030.686223388457,36400,Car,25
95.9472615290039,37769,Car,60
1469.7852513054183,106537,Car,35
7611.219150981271,9386,Car,12
1854.9874839052063,104294,Car,15
4279.023382056204,51797,Car,15
2552.6478539100285,70000,Car,30
2340.0053667971383,22399,Car,35
1837.152767589712,27846,Car,20
1938.711840489453,160000,Car,40
1483.6858323664858,27116,Car,30
250.69975959253347,61902,Car,15
6835.090924202067,12949,Transit,60
263.9661930424387,2000,Car,15
25.619850479192458,40725,Car,90
62.75167662824791,36652,Car,80
376.3972096079254,83435,Car,18
5313.288514719413,129493,Transit,75
51.94116022178356,43000,Car,30
92.39146427949316,15748,Car,40
1300.590000497576,56464,Car,30
1577.169472515998,7458,Car,20
731.6158641705935,75641,Car,45
1927.98541304821,25453,Car,20
14.68533706122008,53190,Car,25
4512.853558775294,61791,Car,15
2672.5629092903982,135582,Car,20
787.3347984866379,4798,Car,60
968.0657487333756,75000,Car,45
28.97569410034945,53955,Car,10
20.362527619823737,60000,Other,15
1837.152767589712,71065,Car,30
141.44753707577988,101812,Car,15
5484.827170757685,10429,Transit,90
1927.98541304821,7700,Walk,10
1050.392515961858,73006,Car,8
1469.7852513054183,40484,Car,10
1660.3573813213725,65000,Car,15
2209.848422552094,21582,Car,60
2031.264236909056,81449,Car,15
1095.2413525406157,11932,Transit,45
278.8263734624197,228000,Other,20
595.814902035487,62576,Car,40
232.09858628435913,38092,Car,15
14.641608659349531,12515,Car,25
4988.452167014933,592343,Car,15
1558.6210875856664,86328,Car,10
7611.219150981271,294900,Transit,15
846.4851631245166,41717,Other,141
4165.771554556369,59351,Car,45
149.94912085052445,31000,Car,35
387.5760233847532,108990,Car,20
592.570902951511,39632,Car,30
3915.622294327765,249487,Car,20
3.8031644624400807,38688,Car,30
595.814902035487,13662,Car,22
331.45738310421433,40000,Car,80
1660.3573813213725,125713,Car,40
5302.13054306082,9876,Car,60
3005.322515689489,26000,Car,25
1044.8538793774817,216376,Transit,90
1257.0763868881293,39423,Car,20
89.3780930509855,104294,Car,141
1483.6858323664858,39419,Car,40
2491.078888450936,41717,Car,10
69.53558858902565,15448,Car,25
82.21962897779703,74576,Car,5
964.2654641443904,42761,Car,15
1837.152767589712,114723,Car,10
1793.2539565756697,13558,Car,5
2191.599621475133,21307,Car,15
2833.0184246670283,25453,Car,25
2353.339265807489,40000,Car,60
278.7636045282764,19424,Car,60
3444.088982718044,33191,Car,30
232.09858628435913,47454,Transit,15
3382.0149426766625,514168,Car,25
2114.083960404297,22230,Car,20
2.72826180817401,35634,Car,90
141.44753707577988,38000,Car,30
5302.13054306082,34531,Car,35
10215.948057260568,66053,Other,20
1680.307794947639,110000,Car,15
4233.045660011577,20859,Car,20
14.641608659349531,12784,Car,25
4269.03438620186,6312,Other,10
